permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/blog-sparks-network,Blog Sparks Network,,Advertising,100000,operating,USA,VT,Montpelier,Burlington,1,10-07-2008,10-01-2011,10-01-2011
/organization/blog-talk-radio,Blog Talk Radio,http://www.blogtalkradio.com,Curated Web,6536608,operating,USA,NY,New York City,New York,3,01-07-2006,01-01-2007,29-03-2010
/organization/blogbus,BlogBus,http://www.blogbus.com,Web Hosting,-,operating,CHN,23,Shanghai,Shanghai,1,,22-12-2006,22-12-2006
/organization/blogcn,BlogCN,http://www.blogcn.com,News,8340000,operating,CHN,2,Hangzhou,Hangzhou,3,,01-07-2004,01-11-2005
/organization/blogfoster,blogfoster,http://blogfoster.com,Advertising|Blogging Platforms|Sales and Marketing,33793,operating,,,,,1,,01-10-2013,01-10-2013
/organization/blogfrog,TapInfluence,http://tapinfluence.com,Advertising|Blogging Platforms|Brand Marketing|Social Media|Software|Startups,8200000,operating,USA,CO,Denver,Boulder,2,01-06-2009,08-03-2012,10-09-2013
/organization/bloggerce,Bloggerce,http://www.bloggerce.com,Blogging Platforms|E-Books|Software,20000,closed,ISR,6,Tel Aviv,Jerusalem,1,01-01-2006,01-01-2008,01-01-2008
/organization/bloggersbase,BloggersBase,http://www.bloggersbase.com,Blogging Platforms|Curated Web|Journalism,125000,operating,ISR,5,Tel Aviv,Herzliya,1,01-06-2008,01-06-2008,01-06-2008
/organization/blogher,BlogHer,http://www.blogher.com,Blogging Platforms|Curated Web|Women,15500000,acquired,USA,CA,SF Bay Area,Belmont,3,01-02-2005,15-07-2007,14-05-2009
/organization/blogic,Blogic,http://www.blogic.com,Blogging Platforms|Software,20000,operating,USA,AZ,Phoenix,Scottsdale,1,15-06-2011,15-06-2011,15-06-2011
/organization/bloglovin,Bloglovin,http://www.bloglovin.com,Curated Web,11065763.07,operating,SWE,26,Stockholm,Stockholm,5,01-11-2008,08-06-2012,14-10-2015
/organization/blogo,Blogo,http://www.getblogo.com,App Stores|Blogging Platforms|Consumer Electronics|Mac|Software,75000,operating,BRA,21,Rio de Janeiro,Rio De Janeiro,1,01-03-2013,08-09-2013,08-09-2013
/organization/blogradio,BlogRadio,http://www.podblogr.com,Blogging Platforms|Cloud Computing|Mobile|Video Streaming,-,closed,USA,CA,San Diego,El Cajon,1,01-01-2009,01-12-2009,01-12-2009
/organization/blogtv,blogTV,http://www.blogtv.com,Broadcasting|Chat|Games,3000000,acquired,ISR,5,Tel Aviv,Ramat Gan,1,01-05-2006,01-01-2007,01-01-2007
